FLBS_HgID,FLBS_IsotopeID,FieldSpeciesCode,CollectionDate,CERL_SpeciesCode,MoistureContent_Percent,MeHg_conc_ng/g dw_ppb,MeHg_conc_ng/g ww_ppb,THg_conc_ng/g dw_ppb,THg_conc_ng/g ww_ppb,%MeHg
750,751,BT,11/2/2016,BUTR,74.3,292,75.1,292,75.1,100
752,753,BT,10/13/2016,BUTR,73.3,428,114.1,401,106.9,106.7
754,755,BT,10/13/2016,BUTR,75.7,816,198.6,761,185.2,107.2
756,757,BT,10/27/2016,BUTR,72.5,396,109,417,114.8,95
758,759,BT,5/4/2016,BUTR,76.6,820,191.8,788,184.3,104.1
760,761,BT,3/20/2016,BUTR,71.7,1470,416.7,1639,464.6,89.7
762,763,BT,5/4/2016,BUTR,73.3,662,176.9,667,178.2,99.3
764,765,BT,7/14/2016,BUTR,76.1,593,141.8,650,155.4,91.2
766,767,BT,9/14/2016,BUTR,80.1,655,130.4,725,144.3,90.3
768,769,BT,11/1/2016,BUTR,74.9,410,102.7,388,97.2,105.7
770,771,BT,5/3/2016,BUTR,75.7,533,129.8,590,143.6,90.3
772,773,BT,10/27/2016,BUTR,77.2,485,110.4,520,118.4,93.3
774,775,BT,,BUTR,76.6,590,137.8,555,129.7,106.3
776,777,BT,10/13/2016,BUTR,78.5,414,89.1,449,96.7,92.2
778,779,BT,11/2/2016,BUTR,71.1,239,69,284,82,84.2
780,781,BT,3/31/2016,BUTR,77.1,1580,361,1780,406.7,88.8
782,783,BT,10/2/2016,BUTR,74.2,837,215.9,902,232.6,92.8
784,785,BT,3/20/2016,BUTR,74.4,1800,460.7,1779,455.3,101.2
786,787,BT,9/30/2017,BUTR,66.3,347,117,412,138.9,84.2
788,789,BT,10/24/2018,BUTR,79.2,614,127.5,628,130.4,97.8
790,791,BT,11/14/2018,BUTR,78,219,48.1,250,54.9,87.6
792,793,BT,10/13/2018,BUTR,72.9,648,175.9,642,174.3,100.9
794,795,BT,5/1/2018,BUTR,71.5,328,93.6,377,107.6,87
796,797,BT,5/31/2017,BUTR,77.1,730,167.4,782,179.3,93.4
798,799,BT,5/17/2017,BUTR,78.2,545,118.9,697,152,78.2
800,801,BT,10/20/2018,BUTR,73.7,478,125.9,563,148.3,84.9
802,803,BT,3/19/2017,BUTR,77.8,697,154.4,779,172.6,89.5
804,805,BT,4/16/2017,BUTR,77.5,868,195.6,994,224,87.3
806,807,BT,6/1/2017,BUTR,73.9,735,192,739,193,99.5
808,809,BT,5/4/2017,BUTR,72.2,614,170.7,637,177.1,96.4
810,811,BT,3/29/2017,BUTR,78.5,953,205,1019,219.2,93.5
812,813,BT,5/16/2017,BUTR,78.6,685,146.9,681,146.1,100.6
814,815,BT,10/25/2017,BUTR,64.5,372,132.1,381,135.3,97.6
816,817,BT,11/20/2018,BUTR,74,562,145.9,592,153.7,94.9
818,819,BT,10/3/2017,BUTR,77.1,522,119.8,503,115.4,103.8
820,821,BT,10/25/2017,BUTR,73.9,430,112.2,481,125.5,89.4
822,823,BT,10/3/2017,BUTR,74.9,1690,424.8,1661,417.5,101.7
824,825,BT,10/3/2017,BUTR,75.5,1620,397.1,1858,455.5,87.2
826,827,BT,10/18/2018,BUTR,78,376,82.6,364,80,103.3
830,831,BT,3/21/2018,BUTR,74.5,363,92.6,398,101.5,91.2
832,833,BT,12/5/2017,BUTR,72.7,768,209.9,844,230.7,91
834,835,BT,12/6/2018,BUTR,74.1,1020,263.7,1025,265,99.5
836,837,BT,8/15/2018,BUTR,75.7,512,124.3,594,144.3,86.2
838,839,BT,11/28/2017,BUTR,68.3,550,174.2,655,207.5,84
840,841,BT,12/11/2018,BUTR,71.9,251,70.6,275,77.3,91.3
842,843,BT,11/14/2018,BUTR,80.1,384,76.3,398,79.1,96.5
844,845,BT,4/14/2018,BUTR,74.1,554,143.6,635,164.6,87.2
500,501,LT,10/28/2020,LATR,77.1,1200,274.8,1123,257.2,106.9
502,503,LT,10/28/2020,LATR,78.9,379,79.9,438,92.3,86.5
506,507,LT,10/28/2020,LATR,74.7,499,126.5,472,119.6,105.7
508,509,LT,10/28/2020,LATR,78.9,351,74,359,75.7,97.8
514,515,LT,10/29/2020,LATR,78,474,104.3,532,117.1,89.1
516,517,LT,10/29/2020,LATR,75.1,618,153.8,619,154,99.8
520,521,LT,10/29/2020,LATR,77.2,540,123.3,510,116.4,105.9
522,523,LT,11/3/2020,LATR,75.4,501,123.4,516,127.1,97.1
524,525,LT,11/3/2020,LATR,78.6,1240,265.5,1406,301.1,88.2
600,601,LT,11/16/2020,LATR,75.6,704,171.7,636,155.1,110.7
606,607,LT,11/17/2020,LATR,79.3,2180,452.2,1982,411.2,110
608,609,LT,11/17/2020,LATR,72.7,1090,298,1328,363.1,82.1
610,611,LT,11/16/2020,LATR,72.6,2230,610.2,2135,584.2,104.4
618,619,LT,11/17/2020,LATR,76.1,1040,248.1,1082,258.1,96.1
622,623,LT,11/17/2020,LATR,76.9,692,160.1,693,160.3,99.9
624,625,LT,11/16/2020,LATR,74.5,491,125.3,539,137.5,91.1
526,527,LT,11/3/2020,LATR,75.5,443,108.7,432,106,102.5
530,531,LT,11/3/2020,LATR,80.1,876,174.6,945,188.3,92.7
532,533,LT,11/3/2020,LATR,79.1,3410,713.1,3578,748.3,95.3
536,537,LT,11/3/2020,LATR,82.6,166,28.9,190,33.1,87.4
540,541,LT,11/4/2020,LATR,79.6,4040,824.4,4763,971.9,84.8
546,547,LT,11/5/2020,LATR,80.2,1030,204.3,1122,222.5,91.8
548,549,LT,11/5/2020,LATR,81.3,1060,198.1,1013,189.3,104.6
626,627,LT,11/18/2020,LATR,75.6,422,102.9,433,105.6,97.5
630,631,LT,11/18/2020,LATR,77,1640,376.7,1897,435.8,86.5
636,637,LT,11/18/2020,LATR,75,653,163,626,156.3,104.3
638,639,LT,11/18/2020,LATR,78.3,1460,316.5,1516,328.7,96.3
642,643,LT,11/17/2020,LATR,78.8,1720,364.4,1878,397.9,91.6
644,645,LT,11/18/2020,LATR,78,1320,290.2,1275,280.3,103.5
658,659,LT,11/19/2020,LATR,81,3160,599.4,3210,608.9,98.4
550,551,LT,11/17/2020,LATR,79.8,558,112.6,605,122.1,92.2
552,553,LT,11/17/2020,LATR,79.5,357,73.2,369,75.6,96.7
554,555,LT,11/17/2020,LATR,79,493,103.3,536,112.3,92
556,557,LT,11/17/2020,LATR,80.9,885,169,867,165.5,102.1
558,559,LT,11/17/2020,LATR,80.5,2070,403.7,2501,487.8,82.8
562,563,LT,11/17/2020,LATR,78.6,1120,239.8,1176,251.8,95.2
566,567,LT,11/17/2020,LATR,78.7,1650,352.3,1613,344.4,102.3
