CollectionDate,Species,Length_mm,Weight_g,Site,Depth,SampleNumber_Hg,SampleNumber_Iso,Sex,Genetics
10/28/2020,LT,243,130,4,255,502,503,M,
10/28/2020,LT,376,,4,260,506,507,M,
10/28/2020,LT,301,,4,260,508,509,M,
10/29/2020,LT,330,360,4,305,520,521,M,
11/3/2020,LT,332,410,4,248,522,523,M,
11/3/2020,LT,253,150,4,223,526,527,M,
11/3/2020,LT,197,70,4,34,536,537,M,
11/17/2020,LT,366,465,4,271,550,551,M,
11/17/2020,LT,202,70,4,257,552,553,M,
11/17/2020,LT,378,505,4,168,554,555,M,
11/16/2020,LT,359,376,2,262,624,625,,
11/18/2020,LT,358,,2,306,626,627,,
11/24/2020,LT,283,205,4,306,664,665,M,
11/24/2020,LT,249,120,4,160,672,673,M,
12/2/2020,LT,358,380,2,270,718,719,,
12/2/2020,LT,351,475,2,270,720,721,,
10/19/2021,LT,314,265,,150,691,692,M,
11/2/2021,LT,371,540,,250,695,696,M,
11/2/2021,LT,365,555,,250,698,699,M,
11/2/2021,LT,306,240,,218,1002,1003,M,
11/3/2021,LT,382,540,,165,1006,1007,M,
11/3/2021,LT,325,250,,165,1008,1009,M,
11/3/2021,LT,271,155,,165,1010,1011,M,
11/3/2021,LT,220,105,,165,1012,1013,M,
11/3/2021,LT,254,155,,165,1014,1015,M,
11/3/2021,LT,351,375,,165,1016,1017,M,
11/3/2021,LT,340,370,,265,1018,1019,M,
11/3/2021,LT,356,440,,256,1020,1021,M,
11/3/2021,LT,291,190,,256,1022,1023,M,
11/3/2021,LT,267,180,,242,1026,1027,M,
10/20/2021,LT,390,635,,197,1028,1029,M,
10/20/2021,LT,372,500,,197,1030,1031,M,
10/20/2021,LT,352,420,,197,1034,1035,M,
10/20/2021,LT,300,250,,197,1036,1037,M,
10/20/2021,LT,302,265,,197,1040,1041,M,
11/3/2021,LT,333,375,,214,1046,1047,M,
11/4/2021,LT,256,140,,197,1048,1049,M,
11/4/2021,LT,211,90,,240,1050,1051,M,
11/4/2021,LT,273,190,,240,1052,1053,M,
11/23/2021,LT,212,75,,269,1080,1081,M,
11/2/2016,BT,403,606,,,750,751,M,526-040
10/13/2016,BT,328,302,,,752,753,F,581-063
10/13/2016,BT,370,442,,,754,755,F,581-062
10/27/2016,BT,400,350,,,756,757,F,526-037
5/4/2016,BT,483,880,,,758,759,F,900-042
3/20/2016,BT,668,3502,,,760,761,M,526-034
5/4/2016,BT,451,776,,,762,763,M,900-040
7/14/2016,BT,272,168,,,764,765,M,581-059
9/14/2016,BT,272,182,,,766,767,F,526-036
11/1/2016,BT,317,280,,,768,769,F,526-039
5/3/2016,BT,370,430,,,770,771,M,900-039
10/27/2016,BT,262,142,,,772,773,F,526-038
10/ /2016,BT,321,306,,,774,775,,581-065
10/13/2016,BT,303,204,,,776,777,F,581-064
