Sample ID,15N,13C,Wt_Percent_N*,Wt_Percent_C*,C:N ratio,Comments
501,11.8,-31,14.1,47.9,3.4,
503,11,-31.8,14.1,49.4,3.5,
Replicate A11 (503),11,-31.7,14.2,49.7,3.5,
505,8.4,-31.4,14,49.2,3.5,
507,10.7,-31.7,13.3,50.1,3.8,
509,10.4,-32,14.3,48.8,3.4,
511,7.2,-31,14.6,48.2,3.3,
513,8.4,-32,11.9,52.5,4.4,
515,10.5,-31.2,14.3,47.5,3.3,
517,10.6,-31.7,13.7,49.7,3.6,
519,7.2,-32.1,13.7,49.1,3.6,
521,11.1,-32,13.4,49.8,3.7,
523,10.9,-31.5,13.9,49.2,3.5,
525,10.3,-30.1,14.8,47.2,3.2,
527,11.5,-32.2,12.9,49.7,3.8,
529,7.4,-29.9,14.4,48.8,3.4,
531,11.3,-31.2,14.4,49,3.4,
533,10.7,-29.3,13.4,51.2,3.8,
535,7.7,-31.4,14.7,48.7,3.3,
537,8.9,-30.8,14.6,48.4,3.3,
541,10.1,-28,13.6,49.5,3.6,
543,8.2,-29.7,14.5,48.3,3.3,
545,7,-31.6,13.4,50.1,3.8,
Replicate C8 (545),7,-31.6,13.4,50.8,3.8,
547,10.2,-29.2,14.7,49,3.3,
549,10.7,-29.7,14.8,46.1,3.1,
551,11.3,-32.5,12.6,52.3,4.1,
553,11,-31.3,14.7,48.6,3.3,
555,10.7,-31.7,13.9,50.6,3.7,
557,10.7,-31.8,14,50.6,3.6,
559,10.7,-30.4,14.6,49.1,3.4,
561,7.6,-31.1,14.9,47.6,3.2,
563,11.2,-30.1,14.8,48.3,3.2,
565,7.8,-31.2,14.9,48.8,3.3,
567,11.4,-31.1,13.7,51,3.7,
569,7.8,-30.9,14.8,46.8,3.2,
571,7.6,-31.2,14.7,47.2,3.2,
573,10.5,-30.3,14.4,49,3.4,
575,8.5,-31.4,13.9,49,3.5,
577,8.3,-30.8,14.7,47.8,3.3,
579,10.7,-31,10.7,55.6,5.2,
581,9.6,-31.2,13.9,48.9,3.5,
583,11.1,-33.3,11.8,54.3,4.6,
585,8.4,-30.9,14.5,47.9,3.3,
Replicate E11 (585),8.4,-30.8,14.4,47.8,3.3,
587,11,-31.5,8.8,56.8,6.4,
589,10.6,-31.9,13.5,50.6,3.7,
591,11.5,-32,12.9,49.6,3.8,
593,10.9,-30,14.7,48.8,3.3,
595,7.2,-31.9,14,49.7,3.5,
597,7.3,-30.4,14.7,48,3.3,
599,8.6,-31.1,14.4,48.5,3.4,
601,11.1,-31.5,14,49.1,3.5,
603,9.2,-31.3,13.9,49.1,3.5,
605,8.3,-31,14.5,48.2,3.3,
607,10.6,-30,14.5,47.6,3.3,
609,10.6,-31.8,12.7,53.3,4.2,
611,10.9,-31.7,11.4,53.4,4.7,
613,7.6,-31.1,14.7,48,3.3,
615,7.5,-32.5,12.5,51,4.1,
617,8.8,-31.6,13.3,49.8,3.7,
619,11.9,-30.5,14.1,47.2,3.4,
623,10.8,-30.9,14.6,48.5,3.3,
625,11,-31,14.4,48.3,3.4,
627,10.7,-31.6,13.6,48.4,3.6,
629,8.4,-30.8,14.5,47.5,3.3,
631,10.8,-30.9,12.9,50.2,3.9,
635,9.5,-30.6,14.4,49.1,3.4,
637,11.1,-31.2,14.3,48.8,3.4,
639,11.4,-31.1,13.9,48.5,3.5,
641,9.2,-30.5,14.6,47.2,3.2,
Replicate H8 (641),9.2,-30.5,14.8,47.7,3.2,
643,10.7,-30.1,14.8,49.3,3.3,
645,10.1,-30.1,15.2,49,3.2,
Replicate A11 (645),10.1,-30.1,15.1,48.9,3.2,
651,7,-30.2,15.1,47.9,3.2,
653,6.8,-30.7,14.7,48.9,3.3,
655,10.8,-29.8,14.7,49.6,3.4,
657,6.9,-30.3,14.6,49.1,3.4,
659,10.1,-27.7,13.9,50.8,3.6,
661,10.3,-29.4,14.5,47.9,3.3,
663,11.1,-30.8,15.1,48.3,3.2,
665,11,-32.9,11.3,50.2,4.4,
667,8.2,-31.2,14.8,47.8,3.2,
669,10.6,-30.1,15.1,47.9,3.2,
671,8.1,-31.1,15.1,47.9,3.2,
673,10.5,-30.9,14.9,47.6,3.2,
703,8.2,-32.2,12.8,50.9,4,
705,11.6,-31.2,13.4,50.2,3.8,
709,7.1,-30.5,14.9,48.2,3.2,
713,10.5,-29.5,13.2,50.2,3.8,
715,8.8,-34.6,11.7,54.2,4.6,
719,10.6,-31.1,14.4,48.4,3.4,
721,11.2,-31.4,14.3,48.7,3.4,
723,7.2,-31.3,14.9,47.7,3.2,
Replicate C8 (723),7.3,-31.4,15.1,47.9,3.2,
725,10.6,-31.9,13.9,50,3.6,
727,8.4,-31.3,14.7,48.4,3.3,
729,11.9,-30.6,14.3,49.1,3.4,
731,11,-32.4,13.1,51.7,3.9,
733,11,-30.3,15.1,47.7,3.2,
735,8.2,-31.5,14.2,49.1,3.5,
739,9.7,-30.5,14.5,47.2,3.2,
741,11.3,-30.3,14.3,48.3,3.4,
747,8.6,-31.3,14.4,49.2,3.4,
847,10.1,-33.8,8.9,55.7,6.3,
849,10.6,-32.7,12.5,51.9,4.2,
851,8.6,-29.4,14.4,46.6,3.2,
853,9.9,-30.9,13.5,49.8,3.7,
855,10.9,-30.4,13.5,49.4,3.7,
857,10.2,-30.9,13,51,3.9,
859,10.2,-31.4,13.5,49.5,3.7,
861,10.7,-30.6,13.9,49.2,3.5,
863,8.1,-27.4,14.5,47.6,3.3,
865,10.3,-30,13.7,49.6,3.6,
867,11.7,-34.3,8.3,59.7,7.2,
Replicate E11 (867),11.7,-33.4,9.7,57.6,5.9,
869,,,,,,Sample missing from tray.
871,10.2,-30.2,14.4,47.9,3.3,
873,9.5,-30.2,14.6,47.5,3.2,
875,7.5,-29.9,14.5,48.1,3.3,
877,10.3,-33.6,11.6,53.6,4.6,
879,10.3,-29.8,14.8,47.5,3.2,
881,9.8,-30.2,14.7,47.6,3.2,
883,10.5,-29.8,14.3,47.3,3.3,
885,12.1,-31.4,12.2,52.6,4.3,
887,9.9,-28.9,14.8,47.4,3.2,
889,10.1,-29,14.6,47.3,3.2,
891,11.1,-30,13.8,47.9,3.5,
893,9.4,-30.9,13.8,46.8,3.4,
895,10.5,-31.1,13.7,50.4,3.7,
897,9.8,-30.7,14,47.3,3.4,
899,7.8,-30.5,13.2,49.3,3.7,
901,9.6,-32.6,11.6,52.5,4.5,
903,10.1,-32.2,13.2,50.5,3.8,
905,9.7,-32.7,11.9,52.6,4.4,
907,10.1,-32.7,12.4,52.6,4.2,
909,9.9,-31,14.3,48.2,3.4,
911,10.4,-31,14.3,48.1,3.4,
913,10.1,-30.8,14.2,48.9,3.4,
