SKC,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q6,Q9,Q13,Q13_1_TEXT,Q14,Q16,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q34,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q38,Q39,Q40,Q42,Q43,Q43_1_TEXT,Q44,Q45
0,7/6/21 14:11,7/6/21 14:12,16,216.47.54.142,100,29,1,7/7/21 12:05,R_093FXWP2XLDdwIl,,,,,47.687307,-114.162085,,EN,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7/6/21 14:12,7/6/21 14:13,16,216.47.54.142,100,49,1,7/7/21 12:05,R_ojj1sZxHPQmn4fG,,,,,47.33230591,-114.0798035,,EN,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7/6/21 14:14,7/6/21 14:32,16,172.58.44.12,100,1049,1,7/6/21 14:35,R_lkIC10hFmZcCXKs,,,,,47.32359314,-122.3186951,,EN,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7/6/21 14:25,7/6/21 14:33,16,216.47.54.142,100,472,1,7/7/21 12:05,R_10BdqkARLjYZWuL,,,,,47.68713,-114.162099,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,3,1,-99,-99,-99,-99,1,-99,-99,1,1,3,3,4,3,1,20,3,7
0,7/6/21 14:40,7/6/21 15:55,16,172.58.44.12,100,4481,1,7/6/21 15:55,R_i97luNOcjNmTiZs,,,,,47.32359314,-122.3186951,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,1,1,29,1,2
0,7/6/21 16:16,7/6/21 16:20,16,216.47.54.142,100,236,1,7/7/21 12:05,R_2eOuA2lGxmY2yKD,,,,,47.687137,-114.1621,,EN,2,,1,2,1,2,-99,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,2,1,33,1,2
0,7/6/21 16:19,7/6/21 16:23,16,172.58.44.12,100,274,1,7/6/21 16:23,R_4igWjuKnEJWCdil,,,,,47.32359314,-122.3186951,,EN,1,4,1,2,1,2,-99,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,4,1,19,1,1
0,7/6/21 16:35,7/6/21 16:46,16,172.58.44.184,100,616,1,7/6/21 17:11,R_2G9W7xlnleHb4hk,,,,,47.32359314,-122.3186951,,EN,2,,1,2,1,1,4,1,1,2,2,1,2,1,1,1,3,2,1,1,3,1,2,1,1,-99,-99,-99,-99,-99,-99,-99,-99,3,3,3,4,1,21,6,2
0,7/6/21 17:27,7/6/21 17:28,16,172.58.44.184,100,43,1,7/6/21 17:29,R_5trptD8yl4UEgV8,,,,,47.32359314,-122.3186951,,EN,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7/9/21 13:21,7/9/21 13:28,16,172.58.44.29,100,442,1,7/9/21 13:56,R_2Rj53LwUPhgBETh,,,,,47.32359314,-122.3186951,,EN,1,1,,2,1,1,2,1,1,1,2,1,2,1,2,1,1,3,1,1,3,1,4,2,,,,,,,,,,,,,3,1,30,1,2
0,7/9/21 13:29,7/9/21 13:33,16,172.58.44.29,100,231,1,7/9/21 13:56,R_o9xjFZkq7y6Fehm,,,,,47.32359314,-122.3186951,,EN,1,1,,2,1,2,-99,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,2,1,34,1,1
